,itemPrice,partnerItemId,originalReceiptItemText,pointsEarned,discountedItemPrice,rewardsGroup,userFlaggedBarcode,rewardsProductPartnerId,priceAfterCoupon,pointsNotAwardedReason,originalMetaBriteQuantityPurchased,targetPrice,receipt_id,pointsPayerId,barcode,originalMetaBriteBarcode,needsFetchReviewReason,userFlaggedNewItem,brandCode,description,quantityPurchased,metabriteCampaignId,itemNumber,preventTargetGapPoints,finalPrice,originalMetaBriteDescription,deleted,originalFinalPrice,originalMetaBriteItemPrice,competitiveProduct,needsFetchReview,userFlaggedPrice,userFlaggedQuantity,competitorRewardsGroup,userFlaggedDescription
94,9.99,1,,50.0,,OSCAR MAYER LUNCH MEAT,,559c2234e4b06aca36af13c6,,,,800,5ff36adb0a720f0523000590,559c2234e4b06aca36af13c6,044700009888,,,,,"OSCAR MAYER Cotto Salami, 12 oz",1.0,,,,9.99,,,,,,,,,,
95,9.99,2,,50.0,,OSCAR MAYER LUNCH MEAT,,559c2234e4b06aca36af13c6,,,,800,5ff36adb0a720f0523000590,559c2234e4b06aca36af13c6,044700009888,,,,,"OSCAR MAYER Cotto Salami, 12 oz",1.0,,,,9.99,,,,,,,,,,
96,9.99,3,,50.0,,OSCAR MAYER LUNCH MEAT,,559c2234e4b06aca36af13c6,,,,800,5ff36adb0a720f0523000590,559c2234e4b06aca36af13c6,044700009888,,,,,"OSCAR MAYER Cotto Salami, 12 oz",1.0,,,,9.99,,,,,,,,,,
97,9.99,4,,50.0,,OSCAR MAYER LUNCH MEAT,,559c2234e4b06aca36af13c6,,,,800,5ff36adb0a720f0523000590,559c2234e4b06aca36af13c6,044700009888,,,,,"OSCAR MAYER Cotto Salami, 12 oz",1.0,,,,9.99,,,,,,,,,,
98,9.99,5,,50.0,,OSCAR MAYER LUNCH MEAT,,559c2234e4b06aca36af13c6,,,,800,5ff36adb0a720f0523000590,559c2234e4b06aca36af13c6,044700009888,,,,,"OSCAR MAYER Cotto Salami, 12 oz",1.0,,,,9.99,,,,,,,,,,
99,1,1,,,,SARGENTO STRING OR STICK CHEESE,,5e7cf838f221c312e698a628,,,,,5ff36da00a7214ada100059b,,021000012961,,,,,,1.0,,,,1,,,,,True,,,,,
100,9.99,1,,,,,,559c2234e4b06aca36af13c6,,,,,5ff36dc40a7214ada100059f,,021000678358,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,1.0,,,,9.99,,,,,,,,,,
101,9.99,2,,,,,,559c2234e4b06aca36af13c6,,,,,5ff36dc40a7214ada100059f,,021000678358,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,1.0,,,,9.99,,,,,,,,,,
102,9.99,3,,,,,,559c2234e4b06aca36af13c6,,,,,5ff36dc40a7214ada100059f,,021000678358,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,1.0,,,,9.99,,,,,,,,,,
103,9.99,4,,,,,,559c2234e4b06aca36af13c6,,,,,5ff36dc40a7214ada100059f,,021000678358,,,,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,1.0,,,,9.99,,,,,,,,,,
